team_a,team_a_score,team_h,team_h_score
Southampton,,Nottingham Forest,
Manchester City,,Ipswich Town,
Wolverhampton,,Chelsea,
Nottingham Forest,,Bournemouth,
Everton,,Brighton,
Ipswich Town,,Liverpool,
Newcastle United,,Southampton,
Arsenal,,Wolverhampton,
Chelsea,,Manchester City,
Brentford,,Crystal Palace,
Leicester City,,Tottenham,
West Ham,,Aston Villa,
Manchester United,,Fulham,
Manchester City,,Arsenal,
Liverpool,,Bournemouth,
Tottenham,,Brentford,
West Ham,,Chelsea,
Leicester City,,Everton,
Southampton,,Ipswich Town,
Crystal Palace,,Manchester United,
Fulham,,Newcastle United,
Brighton,,Nottingham Forest,
Aston Villa,,Wolverhampton,
Ipswich Town,,Aston Villa,
Chelsea,,Brighton,
Everton,,Crystal Palace,
Nottingham Forest,,Fulham,
Arsenal,,Leicester City,
Wolverhampton,,Liverpool,
Newcastle United,,Manchester City,
Bournemouth,,Southampton,
Manchester United,,Tottenham,
Brentford,,West Ham,
West Ham,,Arsenal,
Chelsea,,Aston Villa,
Wolverhampton,,Bournemouth,
Manchester United,,Everton,
Crystal Palace,,Fulham,
Tottenham,,Ipswich Town,
Brentford,,Leicester City,
Liverpool,,Manchester City,
Nottingham Forest,,Newcastle United,
Brighton,,Southampton,
Everton,,Brentford,
Bournemouth,,Brighton,
Arsenal,,Nottingham Forest,
Manchester City,,Tottenham,
Leicester City,,West Ham,
Fulham,,Wolverhampton,
Aston Villa,,Crystal Palace,
Southampton,,Chelsea,
Newcastle United,,Liverpool,
Ipswich Town,,Manchester United,
Aston Villa,,Brentford,
Fulham,,Brighton,
Leicester City,,Chelsea,
Ipswich Town,,Crystal Palace,
Southampton,,Liverpool,
Arsenal,,Manchester United,
Manchester City,,Nottingham Forest,
Bournemouth,,Tottenham,
Newcastle United,,West Ham,
Everton,,Wolverhampton,
Chelsea,,Arsenal,
Liverpool,,Aston Villa,
Brentford,,Bournemouth,
West Ham,,Everton,
Tottenham,,Fulham,
Nottingham Forest,,Ipswich Town,
Manchester United,,Leicester City,
Brighton,,Manchester City,
Crystal Palace,,Newcastle United,
Wolverhampton,,Southampton,
Fulham,,Arsenal,
Ipswich Town,,Bournemouth,
Aston Villa,,Brighton,
Manchester United,,Nottingham Forest,
West Ham,,Wolverhampton,
Tottenham,,Chelsea,
Leicester City,,Manchester City,
Brentford,,Newcastle United,
Crystal Palace,,Southampton,
Everton,,Liverpool,
Nottingham Forest,,Aston Villa,
Chelsea,,Brentford,
Brighton,,Crystal Palace,
Arsenal,,Everton,
Liverpool,,Fulham,
Wolverhampton,,Ipswich Town,
Newcastle United,,Leicester City,
Manchester City,,Manchester United,
Southampton,,Tottenham,
Bournemouth,,West Ham,
Brentford,,Arsenal,
Fulham,,Bournemouth,
Leicester City,,Brighton,
Ipswich Town,,Chelsea,
West Ham,,Liverpool,
Crystal Palace,,Manchester City,
Manchester United,,Newcastle United,
Everton,,Nottingham Forest,
Aston Villa,,Southampton,
Tottenham,,Wolverhampton,
Newcastle United,,Aston Villa,
Brighton,,Brentford,
Bournemouth,,Crystal Palace,
Manchester City,,Everton,
Chelsea,,Fulham,
Arsenal,,Ipswich Town,
Liverpool,,Leicester City,
Wolverhampton,,Manchester United,
Nottingham Forest,,Tottenham,
Southampton,,West Ham,
Crystal Palace,,Arsenal,
Manchester United,,Bournemouth,
West Ham,,Brighton,
Everton,,Chelsea,
Tottenham,,Liverpool,
Aston Villa,,Manchester City,
Ipswich Town,,Newcastle United,
Brentford,,Nottingham Forest,
Fulham,,Southampton,
Leicester City,,Wolverhampton,
Bournemouth,,Arsenal,
Fulham,,Aston Villa,
Manchester United,,Brentford,
Newcastle United,,Brighton,
Liverpool,,Chelsea,
Nottingham Forest,,Crystal Palace,
Ipswich Town,,Everton,
Southampton,,Leicester City,
Wolverhampton,,Manchester City,
Tottenham,,West Ham,
Aston Villa,,Bournemouth,
Everton,,Fulham,
Brentford,,Ipswich Town,
Arsenal,,Liverpool,
West Ham,,Manchester United,
Chelsea,,Newcastle United,
Leicester City,,Nottingham Forest,
Manchester City,,Southampton,
Crystal Palace,,Tottenham,
Brighton,,Wolverhampton,
Newcastle United,,Arsenal,
Tottenham,,Aston Villa,
Fulham,,Brentford,
Liverpool,,Brighton,
Manchester United,,Chelsea,
Wolverhampton,,Crystal Palace,
Southampton,,Everton,
Ipswich Town,,Leicester City,
Bournemouth,,Manchester City,
Nottingham Forest,,West Ham,
Leicester City,,Bournemouth,
Manchester City,,Fulham,
West Ham,,Ipswich Town,
Crystal Palace,,Liverpool,
Aston Villa,,Manchester United,
Everton,,Newcastle United,
Chelsea,,Nottingham Forest,
Arsenal,,Southampton,
Brighton,,Tottenham,
Brentford,,Wolverhampton,
