team_a,team_a_score,team_h,team_h_score
Crystal Palace,0,Tottenham,3
Southampton,3,West Ham,2
Chelsea,3,Aston Villa,1
Brentford,0,Brighton,2
Manchester United,1,Newcastle United,1
Norwich,0,Crystal Palace,3
Tottenham,1,Southampton,1
West Ham,4,Watford,1
Liverpool,0,Leeds United,1
Brighton,1,Chelsea,1
Manchester City,1,Brentford,0
Burnley,1,Manchester United,3
Manchester City,2,Arsenal,1
Tottenham,1,Watford,0
West Ham,3,Crystal Palace,2
Aston Villa,1,Brentford,2
Brighton,3,Everton,2
Burnley,1,Leicester City,3
Liverpool,2,Chelsea,2
Wolverhampton,1,Manchester United,0
Brentford,1,Southampton,4
Norwich,0,West Ham,2
Crystal Palace,1,Brighton,1
Chelsea,0,Manchester City,1
Watford,1,Newcastle United,1
Everton,1,Norwich,2
Southampton,1,Wolverhampton,3
Manchester United,2,Aston Villa,2
Brentford,0,Liverpool,3
Leicester City,3,West Ham,2
Chelsea,1,Brighton,1
Tottenham,3,Leeds United,2
Manchester United,3,Brentford,1
Norwich,3,Watford,0
Aston Villa,1,Everton,0
Wolverhampton,2,Brentford,1
Newcastle United,1,Leicester City,0
West Ham,0,Manchester United,1
Manchester City,1,Southampton,1
Burnley,0,Arsenal,0
Liverpool,3,Crystal Palace,1
Brighton,1,Leeds United,1
Tottenham,0,Chelsea,2
Watford,0,Burnley,0
Everton,1,Newcastle United,3
Watford,0,West Ham,1
Manchester United,1,Burnley,1
Brentford,0,Manchester City,2
Crystal Palace,1,Norwich,1
Southampton,3,Tottenham,2
Leicester City,3,Aston Villa,3
Leeds United,0,Liverpool,2
Arsenal,1,Wolverhampton,0
Southampton,1,Manchester United,1
Crystal Palace,0,Brentford,0
Leicester City,0,Everton,3
Brighton,2,Watford,0
Manchester City,4,Norwich,0
Liverpool,1,Burnley,0
Aston Villa,0,Newcastle United,1
Wolverhampton,2,Tottenham,0
West Ham,2,Leeds United,2
Brighton,0,Manchester United,2
Newcastle United,1,West Ham,1
Brentford,1,Arsenal,2
Watford,1,Aston Villa,0
Burnley,3,Brighton,0
Chelsea,1,Crystal Palace,0
Norwich,1,Liverpool,3
Everton,0,Southampton,2
Tottenham,3,Manchester City,2
Manchester United,4,Leicester City,2
Leeds United,1,Wolverhampton,2
Tottenham,0,Burnley,1
Crystal Palace,4,Watford,1
Leicester City,0,Liverpool,6
Wolverhampton,1,Arsenal,2
Norwich,0,Southampton,2
Tottenham,4,Leicester City,0
Newcastle United,2,Brentford,0
Burnley,1,Crystal Palace,1
Watford,0,Manchester United,0
Aston Villa,2,Brighton,0
Manchester City,1,Everton,0
Wolverhampton,0,West Ham,1
Leeds United,2,Burnley,0
Leicester City,0,Leeds United,1
Southampton,0,Aston Villa,4
Chelsea,4,Burnley,0
Brighton,1,Newcastle United,2
Brentford,3,Norwich,1
Crystal Palace,2,Wolverhampton,0
West Ham,0,Liverpool,1
Arsenal,3,Watford,2
Manchester United,1,Manchester City,4
Everton,0,Tottenham,5
Chelsea,3,Norwich,1
Newcastle United,2,Southampton,1
Watford,0,Wolverhampton,4
Aston Villa,3,Leicester City,0
Liverpool,2,Brighton,0
Burnley,0,Brentford,2
Tottenham,2,Manchester United,3
Newcastle United,0,Chelsea,1
Wolverhampton,1,Everton,0
Norwich,1,Leicester City,2
Watford,2,Southampton,1
Aston Villa,1,West Ham,2
Leeds United,0,Arsenal,2
Manchester City,0,Crystal Palace,0
Tottenham,2,Brighton,0
Liverpool,2,Arsenal,0
Newcastle United,0,Everton,1
Leicester City,3,Wolverhampton,2
Arsenal,1,Aston Villa,0
Brentford,1,Leeds United,2
West Ham,1,Tottenham,3
Watford,0,Liverpool,2
Norwich,0,Brighton,0
Manchester City,2,Burnley,0
Brentford,4,Chelsea,1
Southampton,1,Leicester City,1
Aston Villa,1,Wolverhampton,2
Leeds United,1,Manchester United,1
Everton,1,West Ham,2
Newcastle United,1,Tottenham,5
Arsenal,0,Crystal Palace,3
Everton,2,Burnley,3
Wolverhampton,0,Newcastle United,1
Manchester United,0,Everton,1
Brighton,2,Arsenal,1
Chelsea,6,Southampton,0
Leicester City,3,Watford,0
Tottenham,4,Aston Villa,0
West Ham,0,Brentford,2
Crystal Palace,1,Leeds United,2
Burnley,0,Norwich,2
Liverpool,2,Manchester City,2
Brighton,1,Tottenham,0
Norwich,2,Manchester United,3
Arsenal,0,Southampton,1
Brentford,2,Watford,1
Leeds United,1,Newcastle United,2
Burnley,1,West Ham,1
Manchester United,0,Liverpool,4
Arsenal,4,Chelsea,2
Leeds United,1,Everton,1
Crystal Palace,0,Newcastle United,1
Brighton,0,Manchester City,3
Southampton,0,Burnley,2
Manchester United,1,Arsenal,3
Aston Villa,0,Leeds United,0
Watford,1,Manchester City,5
Newcastle United,3,Norwich,0
Tottenham,0,Brentford,0
Southampton,2,Brighton,2
Wolverhampton,0,Burnley,1
West Ham,0,Chelsea,1
Everton,0,Liverpool,2
Leicester City,0,Crystal Palace,0
Chelsea,1,Manchester United,1
Liverpool,1,Newcastle United,0
Norwich,0,Aston Villa,2
Crystal Palace,2,Southampton,1
Burnley,2,Watford,1
Brighton,3,Wolverhampton,0
Manchester City,4,Leicester City,0
Chelsea,0,Everton,1
Leeds United,1,Tottenham,3
Arsenal,2,West Ham,1
Brentford,0,Manchester United,3
Southampton,0,Brentford,3
Aston Villa,3,Burnley,1
Wolverhampton,2,Chelsea,2
Watford,0,Crystal Palace,1
Manchester United,0,Brighton,4
Tottenham,1,Liverpool,1
Leicester City,1,Arsenal,2
Everton,2,Leeds United,1
West Ham,4,Norwich,0
Newcastle United,0,Manchester City,5
Liverpool,2,Aston Villa,1
Chelsea,3,Leicester City,0
Norwich,0,Leeds United,3
Everton,0,Watford,0
Manchester City,5,Wolverhampton,1
Arsenal,0,Tottenham,3
Burnley,0,Tottenham,1
Crystal Palace,1,Aston Villa,1
Brighton,1,Leicester City,1
Leeds United,5,Watford,1
Manchester City,2,West Ham,2
Norwich,1,Wolverhampton,1
Brentford,3,Everton,2
Arsenal,0,Newcastle United,2
Liverpool,2,Southampton,1
Crystal Palace,2,Everton,3
Burnley,1,Aston Villa,1
Leeds United,1,Chelsea,1
Everton,1,Arsenal,5
Leicester City,2,Brentford,1
West Ham,1,Brighton,3
Newcastle United,2,Burnley,1
Watford,1,Chelsea,2
Manchester United,0,Crystal Palace,1
Southampton,1,Leeds United,4
Wolverhampton,1,Liverpool,3
Aston Villa,2,Manchester City,3
Tottenham,5,Norwich,0
