team_a,team_a_score,team_h,team_h_score
Manchester City,1,Manchester United,2
Liverpool,0,Brighton,3
Southampton,2,Everton,1
Leeds United,0,Nottingham Forest,2
West Ham,0,Wolverhampton,1
Bournemouth,0,Brentford,2
Crystal Palace,0,Chelsea,1
Fulham,0,Newcastle United,1
Arsenal,2,Tottenham,0
Manchester United,1,Crystal Palace,1
Tottenham,2,Manchester City,4
Chelsea,0,Liverpool,0
Nottingham Forest,1,Bournemouth,1
Brighton,2,Leeds United,2
Aston Villa,1,Southampton,0
Everton,0,West Ham,2
Newcastle United,0,Crystal Palace,0
Brentford,0,Leicester City,0
Wolverhampton,0,Manchester City,3
Manchester United,2,Arsenal,3
Tottenham,1,Fulham,0
Fulham,0,Chelsea,0
Arsenal,0,Everton,1
Leeds United,4,Aston Villa,2
Southampton,0,Brentford,3
Bournemouth,0,Brighton,1
Crystal Palace,1,Manchester United,2
Liverpool,0,Wolverhampton,3
West Ham,1,Newcastle United,1
Leicester City,0,Nottingham Forest,1
Manchester City,0,Tottenham,1
Leicester City,2,Manchester United,2
Chelsea,1,West Ham,1
Brentford,1,Arsenal,1
Brighton,1,Crystal Palace,1
Nottingham Forest,0,Fulham,2
Tottenham,1,Leeds United,4
Wolverhampton,2,Southampton,1
Newcastle United,1,Bournemouth,1
Manchester United,2,Leicester City,0
Aston Villa,1,Manchester City,3
Everton,0,Liverpool,2
Manchester City,3,Arsenal,1
Arsenal,4,Aston Villa,2
Crystal Palace,1,Brentford,1
Fulham,1,Brighton,0
Southampton,1,Chelsea,0
Leicester City,0,Everton,1
Manchester City,1,Nottingham Forest,1
Bournemouth,1,Wolverhampton,0
Liverpool,2,Newcastle United,0
Leeds United,0,Manchester United,3
West Ham,0,Tottenham,2
Wolverhampton,1,Fulham,1
Aston Villa,2,Everton,0
Southampton,0,Leicester City,1
Arsenal,1,Leeds United,0
Nottingham Forest,0,West Ham,4
Manchester City,4,Bournemouth,1
Liverpool,0,Crystal Palace,0
Chelsea,0,Tottenham,2
Everton,0,Arsenal,4
Wolverhampton,0,Liverpool,2
Newcastle United,0,Manchester City,2
Bournemouth,2,Arsenal,3
Crystal Palace,0,Aston Villa,1
West Ham,0,Brighton,4
Leicester City,0,Chelsea,1
Tottenham,0,Wolverhampton,1
Leeds United,0,Southampton,1
Everton,2,Nottingham Forest,2
Manchester United,0,Liverpool,7
Fulham,2,Brentford,3
Liverpool,0,Bournemouth,1
Brentford,0,Everton,1
Brighton,2,Leicester City,2
Chelsea,3,Leeds United,1
Nottingham Forest,1,Tottenham,3
Manchester City,1,Crystal Palace,0
Arsenal,3,Fulham,0
Southampton,0,Manchester United,0
Aston Villa,1,West Ham,1
Wolverhampton,1,Newcastle United,2
Crystal Palace,0,Brighton,1
Brentford,2,Southampton,0
Newcastle United,2,Nottingham Forest,1
Bournemouth,0,Aston Villa,3
Leeds United,1,Brentford,1
Tottenham,3,Southampton,3
Leicester City,4,Wolverhampton,2
Everton,2,Chelsea,2
Crystal Palace,1,Arsenal,4
Liverpool,1,Manchester City,4
Leicester City,1,Arsenal,4
Fulham,1,Bournemouth,2
Brentford,3,Brighton,3
Leeds United,1,Crystal Palace,2
Wolverhampton,1,Nottingham Forest,1
Aston Villa,2,Chelsea,0
Southampton,0,West Ham,1
Manchester United,0,Newcastle United,2
Tottenham,1,Everton,1
Brighton,2,Bournemouth,0
Nottingham Forest,1,Leicester City,2
Aston Villa,2,Leeds United,1
Liverpool,0,Chelsea,0
Brentford,0,Manchester United,1
Newcastle United,5,West Ham,1
Everton,0,Manchester United,2
Nottingham Forest,0,Aston Villa,2
Newcastle United,2,Brentford,1
West Ham,1,Fulham,0
Bournemouth,1,Leeds United,0
Brighton,1,Tottenham,2
Chelsea,0,Wolverhampton,1
Manchester City,4,Southampton,1
Crystal Palace,5,Leicester City,1
Arsenal,2,Liverpool,2
Newcastle United,0,Aston Villa,3
Brighton,2,Chelsea,1
Fulham,3,Everton,1
Crystal Palace,2,Southampton,0
Brentford,0,Wolverhampton,2
Bournemouth,3,Tottenham,2
Leeds United,1,Manchester City,3
Arsenal,2,West Ham,2
Manchester United,2,Nottingham Forest,0
Liverpool,6,Leicester City,1
Southampton,3,Arsenal,3
Leicester City,1,Fulham,2
Aston Villa,1,Brentford,1
Everton,0,Crystal Palace,0
Wolverhampton,1,Leeds United,2
Nottingham Forest,2,Liverpool,3
West Ham,4,Bournemouth,0
Tottenham,1,Newcastle United,6
Crystal Palace,0,Wolverhampton,2
Fulham,0,Aston Villa,1
Leeds United,1,Leicester City,1
Brighton,1,Nottingham Forest,3
Brentford,2,Chelsea,0
Liverpool,2,West Ham,1
Arsenal,1,Manchester City,4
Newcastle United,4,Everton,1
Bournemouth,1,Southampton,0
Manchester United,2,Tottenham,2
West Ham,3,Crystal Palace,4
Nottingham Forest,1,Brentford,2
Wolverhampton,0,Brighton,6
Leicester City,1,Bournemouth,4
Manchester City,2,Fulham,1
Aston Villa,0,Manchester United,1
Southampton,1,Newcastle United,3
Tottenham,3,Liverpool,4
Everton,2,Leeds United,2
Chelsea,1,Arsenal,3
Fulham,0,Liverpool,1
West Ham,0,Manchester City,3
Manchester United,0,Brighton,1
Chelsea,3,Bournemouth,1
Leicester City,1,Manchester City,2
Crystal Palace,0,Tottenham,1
Aston Villa,0,Wolverhampton,1
Brentford,0,Liverpool,1
Arsenal,2,Newcastle United,0
Manchester United,0,West Ham,1
Leeds United,3,Fulham,5
Everton,5,Brighton,1
Southampton,3,Nottingham Forest,4
Newcastle United,2,Leicester City,2
Tottenham,1,Aston Villa,2
Nottingham Forest,2,Chelsea,2
Bournemouth,0,Crystal Palace,2
Wolverhampton,0,Manchester United,2
Fulham,2,Southampton,0
West Ham,0,Brentford,2
Manchester City,3,Everton,0
Brighton,3,Arsenal,0
Liverpool,3,Leeds United,0
Brighton,1,Newcastle United,4
Brentford,3,Tottenham,1
Manchester United,1,Bournemouth,0
Crystal Palace,2,Fulham,2
Aston Villa,1,Liverpool,1
Everton,1,Wolverhampton,1
Arsenal,0,Nottingham Forest,1
Leicester City,1,West Ham,3
Southampton,1,Brighton,3
Chelsea,0,Manchester City,1
Leeds United,0,Newcastle United,0
Manchester City,1,Brighton,1
Chelsea,1,Manchester United,4
Wolverhampton,0,Arsenal,5
Brighton,1,Aston Villa,2
Manchester City,0,Brentford,1
Newcastle United,1,Chelsea,1
Nottingham Forest,1,Crystal Palace,1
Bournemouth,0,Everton,1
Tottenham,4,Leicester City,1
West Ham,1,Leeds United,2
Fulham,1,Manchester United,2
Liverpool,4,Southampton,4
