Player Name,Team,Value,Expected Points
Michael Jones,Wolverhampton,5.8,10.5
Leo Wilson,Newcastle United,7.1,20.0
Leo Baker,Aston Villa,6.9,7.5
Chris Jackson,Fulham,5.0,3.8
Ryan Thomas,Newcastle United,7.5,10.1
Nathan Green,Newcastle United,7.1,15.1
Oliver Young,Newcastle United,4.9,2.1
Noah Scott,West Ham,8.0,15.8
Ethan Martinez,Arsenal,4.9,3.5
Tom Williams,Manchester City,7.3,18.6
Noah Clark,Southampton,5.5,3.0
Tom Evans,Tottenham,7.2,17.8
Adam Adams,Fulham,5.5,3.3
Luke Jackson,Everton,8.6,16.2
Noah Martin,Everton,5.6,10.2
Alex Garcia,Brentford,7.0,5.1
Daniel Brown,Manchester City,5.1,0.1
Matt Miller,Everton,8.0,12.2
Ryan Turner,Nottingham Forest,8.4,13.1
David Evans,West Ham,5.0,0.1
Mark Garcia,Wolverhampton,7.0,7.4
Jacob Johnson,Tottenham,5.1,3.2
Sam Bell,Tottenham,5.5,1.0
Luke Taylor,Newcastle United,5.1,5.5
