Player Name,Team,Value,Expected Points
Jack Collins,Bournemouth,5.6,11.6
Tom Baker,Bournemouth,7.4,11.2
Jack Smith,Leicester City,8.2,19.0
James Collins,Liverpool,6.6,8.6
Daniel Bell,Ipswich Town,8.9,15.3
Nathan Smith,Liverpool,8.3,14.3
Michael Garcia,Wolverhampton,6.2,8.1
Ryan Martinez,Liverpool,5.1,0.2
Sam Baker,Bournemouth,5.2,2.4
Liam Miller,Brentford,5.9,7.8
Nathan Bell,Crystal Palace,5.7,5.6
Adam Moore,Wolverhampton,8.4,11.9
Jack Jones,Brentford,5.6,11.4
Michael Adams,Brentford,7.5,15.6
Oliver Jones,Liverpool,5.7,5.6
Ethan Smith,Leicester City,7.8,11.4
Daniel Thomas,Liverpool,7.2,14.4
Michael Wilson,Leicester City,4.8,3.2
Ben Thomas,Nottingham Forest,5.2,3.5
John Smith,Tottenham,8.6,18.9
Ethan Miller,Tottenham,6.1,6.1
Max Miller,Nottingham Forest,7.2,19.9
Ethan Jones,Tottenham,6.8,9.9
Nathan Brown,Nottingham Forest,6.9,9.9
James Moore,Wolverhampton,8.1,14.7
Henry Thompson,Tottenham,6.3,6.9
Matt Moore,Bournemouth,7.9,10.5
Adam Thomas,Tottenham,8.7,14.2
Sam Garcia,Tottenham,6.2,4.3
Steve White,Tottenham,5.3,5.0
Oliver Brown,Bournemouth,5.8,11.3
Adam Jones,Nottingham Forest,8.0,13.5
Mark Collins,Tottenham,6.0,9.9
Jack Turner,Tottenham,7.6,14.7
Max Baker,Bournemouth,4.9,4.7
Max Jones,Nottingham Forest,5.4,5.7
Liam Clark,Nottingham Forest,6.8,6.2
Sam Martinez,Bournemouth,6.9,10.4
Chris Moore,Nottingham Forest,6.6,9.6
Oliver Thompson,Bournemouth,4.8,5.2
Henry Green,Bournemouth,5.2,1.4
Luke Johnson,Bournemouth,7.3,10.3
